Created on 06/20/2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High/2018,Low,Close,Volume From,Volume To
04/14/2018,LTCUSD,125.21,130,124.58,126.13,11285.7,1433474.14
04/13/2018,LTCUSD,129.9,133.73,124,125.21,33605.5,4338426.47
04/12/2018,LTCUSD,117.97,130.89,113.12,129.9,41789.68,5069007.16
04/11/2018,LTCUSD,113.96,119.76,113.1,117.97,10230.58,1179322.48
04/10/2018,LTCUSD,114.85,115.04,111.55,113.96,7550.53,855728.01
04/09/2018,LTCUSD,117.75,122.78,112.69,114.85,17769.29,2075710.06
04/08/2018,LTCUSD,115.97,118.37,114.95,117.75,7906.01,922843.53
04/07/2018,LTCUSD,112.79,119.85,112.69,115.97,13624.46,1599757.28
04/06/2018,LTCUSD,118.39,120.11,111.63,112.79,16532.94,1884112.07
04/05/2018,LTCUSD,118.29,122,113.15,118.39,21441.77,2535330.12
04/04/2018,LTCUSD,133.87,134.64,115.07,118.29,33020.11,4040560.56
04/03/2018,LTCUSD,118.89,159.65,117.99,133.87,32880.49,4219848.39
04/02/2018,LTCUSD,115,122,114.25,118.89,20008.33,2387800.09
04/01/2018,LTCUSD,115.84,117.59,109.33,115,17292.63,1954119.17
03/31/2018,LTCUSD,118.07,124.41,115.17,115.84,16711.09,2002644.79
03/30/2018,LTCUSD,114.4,125.94,109,118.07,32879.69,3837519.72
03/29/2018,LTCUSD,131.54,132.35,112.02,114.4,54555.97,6532065.72
03/28/2018,LTCUSD,134.62,139.64,130.11,131.54,19283.44,2586430.4
03/27/2018,LTCUSD,148.1,149.32,134.62,134.62,33828.37,4752438.19
03/26/2018,LTCUSD,160.17,160.7,141.7,148.1,30355.65,4510867.48
03/25/2018,LTCUSD,158.29,162.92,157.13,160.17,7333.71,1171249.15
03/24/2018,LTCUSD,168.82,169.8,158.29,158.29,9777.33,1610205.23
03/23/2018,LTCUSD,163.34,168.82,156.67,168.82,14089.8,2263849.51
03/22/2018,LTCUSD,168.67,172.34,159.49,163.34,17496.95,2892217.83
03/21/2018,LTCUSD,168.73,175.17,165.45,168.67,22325.92,3815180.23
03/20/2018,LTCUSD,161.23,173.37,155.31,168.73,24261.21,3978213.29
03/19/2018,LTCUSD,153.24,163.81,150.62,161.23,23919.13,3750479.06
03/18/2018,LTCUSD,152.24,156.8,137.01,153.24,42569.56,6184326.54
03/17/2018,LTCUSD,164.65,165.35,150.4,152.24,19835.85,3135116.97
03/16/2018,LTCUSD,163.48,171.72,157.82,164.65,16169.0,2663348.26
03/15/2018,LTCUSD,160.24,167.35,150,163.48,31169.61,4959723.5
03/14/2018,LTCUSD,175.35,177.72,156.18,160.24,25114.02,4134222.55
03/13/2018,LTCUSD,177.68,182,171,175.35,18474.5,3248851.74
03/12/2018,LTCUSD,188.36,193,173.81,177.68,23045.87,4213649.97
03/11/2018,LTCUSD,176.47,193.81,170.6,188.36,37137.0,6773677.2
03/10/2018,LTCUSD,185.99,195.2,174.31,176.47,20651.77,3837068.21
03/09/2018,LTCUSD,175.35,190,159.11,185.99,56396.19,9810107.78
03/08/2018,LTCUSD,185.45,189,174.5,175.35,33828.48,6081803.47
03/07/2018,LTCUSD,195.54,199.75,174.3,185.45,38705.98,7160778.41
03/06/2018,LTCUSD,210.5,210.5,191.79,195.54,20140.51,4051425.12
03/05/2018,LTCUSD,213.7,216.4,208.25,210.5,10101.16,2147134.2
03/04/2018,LTCUSD,209.81,215.42,204.62,213.7,13230.82,2768926.79
03/03/2018,LTCUSD,212.31,218.1,208.72,209.81,18751.24,4029395.46
03/02/2018,LTCUSD,209.05,213.77,203.95,212.31,10603.37,2201401.9
03/01/2018,LTCUSD,201.84,215.5,200.3,209.05,21956.6,4583161.92
02/28/2018,LTCUSD,215,223.99,201.03,201.84,19210.74,4068447.87
02/27/2018,LTCUSD,218.78,223.75,212.15,215,21771.18,4733712.6
02/26/2018,LTCUSD,218.27,262,214.5,218.78,63952.68,14337698.79
02/25/2018,LTCUSD,206.34,223.28,200.01,218.27,41945.19,8861330.11
02/24/2018,LTCUSD,207.13,218.52,194.67,206.34,37112.6,7610869.55
02/23/2018,LTCUSD,193.24,215.72,182,207.13,45511.88,9066666.1
02/22/2018,LTCUSD,210.36,222.59,188.03,193.24,45199.18,9198462.07
02/21/2018,LTCUSD,228.73,232.56,205.01,210.36,51627.15,11183182.05
02/20/2018,LTCUSD,222.68,252.63,221.09,228.73,65585.95,15648675.37
02/19/2018,LTCUSD,214.3,226.99,214.2,222.68,16169.29,3607511.36
02/18/2018,LTCUSD,229.96,232,212.48,214.3,30656.01,6849507.05
02/17/2018,LTCUSD,228.88,234,225,229.96,21191.0,4850083.72
02/16/2018,LTCUSD,222.07,236.9,210.01,228.88,45253.9,10113060.67
02/15/2018,LTCUSD,212.79,236.86,207.64,222.07,79097.66,17668825.05
02/14/2018,LTCUSD,158.82,220.79,158.82,212.79,98106.8,18996868.55
02/13/2018,LTCUSD,161.64,162.31,152.76,158.82,11610.51,1828110.72
02/12/2018,LTCUSD,148.4,163.67,148.4,161.64,24911.0,3951477.75
02/11/2018,LTCUSD,154.51,155.79,140.75,148.4,21879.2,3249998.82
02/10/2018,LTCUSD,164.83,169.54,147.01,154.51,32073.33,5140008.38
02/09/2018,LTCUSD,149.5,164.83,141.9,164.83,26454.92,4054724.54
02/08/2018,LTCUSD,137.5,151,137.3,149.5,32701.84,4777817.35
02/07/2018,LTCUSD,141.91,159.49,129.94,137.5,67374.38,9816272.93
02/06/2018,LTCUSD,122.6,148,103.02,141.91,117737.23,14369535.93
02/05/2018,LTCUSD,147.07,154.9,115.5,122.6,110517.3,14707443.15
02/04/2018,LTCUSD,160.7,174.4,135.88,147.07,76634.04,11890052.63
02/03/2018,LTCUSD,131.08,165.4,117.97,160.7,45712.26,6632750.62
02/02/2018,LTCUSD,140.84,147,101,131.08,64977.72,8117032.45
02/01/2018,LTCUSD,162.3,164.87,127,140.84,48969.69,7125792.18
01/31/2018,LTCUSD,163.63,166,155,162.3,22457.69,3601043.04
01/30/2018,LTCUSD,180.26,180.67,160,163.63,29902.27,5064375.82
01/29/2018,LTCUSD,192.16,193.05,177.79,180.26,14508.9,2645738.96
01/28/2018,LTCUSD,180.2,193.65,180,192.16,19470.87,3633183.93
01/27/2018,LTCUSD,175.39,184.07,173.68,180.2,18099.33,3252337.82
01/26/2018,LTCUSD,179.05,182.7,165.37,175.39,21551.26,3743056.91
01/25/2018,LTCUSD,180.99,185,175,179.05,17826.93,3217852.34
01/24/2018,LTCUSD,177.32,186.13,173,180.99,20442.67,3662104.25
01/23/2018,LTCUSD,180.01,187.39,165.25,177.32,26835.97,4749379.97
01/22/2018,LTCUSD,190.93,195.85,165.1,180.01,32850.56,5935275.85
01/21/2018,LTCUSD,211.75,211.75,182.81,190.93,20428.99,3965586.09
01/20/2018,LTCUSD,194.41,216.6,194.41,211.75,37150.05,7681705.12
01/19/2018,LTCUSD,192.67,203.92,187.77,194.41,28380.42,5541658.87
01/18/2018,LTCUSD,187.5,210,177.06,192.67,48080.11,9317778.14
01/17/2018,LTCUSD,190.73,204.98,137.86,187.5,90762.15,15855831.53
01/16/2018,LTCUSD,231.55,232.75,150.4,190.73,80692.95,15753615.6
01/15/2018,LTCUSD,239,247.48,231.01,231.55,22148.71,5305699.3
01/14/2018,LTCUSD,261.85,280,232,239,39133.22,9741617.7
01/13/2018,LTCUSD,230.68,230.68,230.68,230.68,0.0,0.0
01/12/2018,LTCUSD,230.68,230.68,230.68,230.68,0.0,0.0
01/11/2018,LTCUSD,251.83,254,216.02,230.68,10993.65,2545432.07
01/10/2018,LTCUSD,246.85,254.97,231.75,251.83,17473.4,4223415.56
01/09/2018,LTCUSD,254.96,290,239,246.85,17489.29,4433632.18
01/08/2018,LTCUSD,266.55,271.45,226,254.96,19934.5,5087777.42
01/07/2018,LTCUSD,280.53,286.76,252.4,266.55,13619.89,3766862.82
01/06/2018,LTCUSD,240.45,305,240,280.53,43481.76,12213921.87
01/05/2018,LTCUSD,240,260,236,240.45,22357.57,5466043.86
01/04/2018,LTCUSD,243,246.92,225,240,27422.8,6469641.15
01/03/2018,LTCUSD,254.6,261.49,240.51,243,18211.22,4554847.98
01/02/2018,LTCUSD,225.63,265,225.01,254.6,22425.44,5549587.31
01/01/2018,LTCUSD,230.3,237.77,217.87,225.63,14788.13,3363757.17
12/31/2017,LTCUSD,212.12,236,207.13,230.3,13244.65,2921539.22
12/30/2017,LTCUSD,240.08,242.78,202.2,212.12,31215.25,6893588.39
12/29/2017,LTCUSD,249.45,283,225,242.41,28507.9,7098674.89
12/28/2017,LTCUSD,264.87,266.87,220,249.45,22203.91,5427711.1
12/27/2017,LTCUSD,279.81,286.76,251.26,264.87,16301.22,4423588.59
12/26/2017,LTCUSD,265.89,285,263.06,279.81,13444.93,3735438.14
12/25/2017,LTCUSD,264.89,282.32,258.78,265.89,10462.73,2831915.06
12/24/2017,LTCUSD,276.72,292.75,240,264.89,19523.43,5095153.7
12/23/2017,LTCUSD,258.63,310,253.19,276.72,32678.33,9274575.88
12/22/2017,LTCUSD,297.14,302.69,195,258.63,48266.49,12215745.49
